"term","package","description","title"
"library","base","Load an R package","All Functions of Week 8"
"read_sav","haven","Read SPSS files",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"numeric","base","Create numeric vector",""
"sample","base","Takes a sample of the specified size",""
"mean","base","Get mean of a vector",""
"seq","base","Create a sequence",""
"dnorm","stats","Density distribution for the normal distribution",""
"plot","graphics","Generic function from base R to produce a plot",""
"c","base","Combine values/vectors into a vector",""
"tibble","tibble","A modern data frame from the tidyverse",""
"read_csv","readr","Read CSV files",""
"rm","base","Remove objects",""
"ls","base","Return a vector of character strings giving the names of the objects in the specified environment",""
"setwd","base","Set Working Directory",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"head","utils","Show first 5 rows of a data frame",""
"nrow","base","Get number of rows of a data frame",""
"ncol","base","Get number of columns of a data frame",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"mutate","dplyr","Create new variables",""
"as.numeric","base","Coerce a vector to numeric",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"count","dplyr","Count observations by group",""
"sum","base","Get sum of numeric values or a vector",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_col","GGPLOT2","Bar chart where bar heights represent values in the data",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"max","base","Get maximum of a vector",""
"select","dplyr","Select columns from a tibble/data frame",""
"left_join","dplyr","Left join of two data frames",""
"summary","base","Obtain summary statistics or detailed regression output",""
"sd","stats","Get standard deviation of a vector",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"geom_density","GGPLOT2","Generates a density plot",""
"pnorm","base","Returns the cumulative distribution function (CDF) of the normal distribution",""
"qnorm","stats","Quantile function for the normal distribution",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"sqrt","base","Square-root function",""
"length","base","Returns number of elements in an object",""
"data.frame","base","Create a data.frame from vectors",""
"slice_sample","dplyr","Randomly selects rows from a data frame or tibble.",""
"qt","stats","Quantile function for t-distribution",""
