"term","package","description","title"
"read_sav","haven","Read SPSS files","New Functions in Week 8"
"set.seed","base","Initialise a pseudorandom number generator.",""
"numeric","base","Create numeric vector",""
"sample","base","Takes a sample of the specified size",""
"dnorm","stats","Density distribution for the normal distribution",""
"tibble","tibble","A modern data frame from the tidyverse",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"ncol","base","Get number of columns of a data frame",""
"as.numeric","base","Coerce a vector to numeric",""
"count","dplyr","Count observations by group",""
"geom_col","GGPLOT2","Bar chart where bar heights represent values in the data",""
"left_join","dplyr","Left join of two data frames",""
"after_stat","GGPLOT2","Control aesthetic evaluation. On the module used for displying percent",""
"geom_density","GGPLOT2","Generates a density plot",""
"pnorm","base","Returns the cumulative distribution function (CDF) of the normal distribution",""
"qnorm","stats","Quantile function for the normal distribution",""
"sqrt","base","Square-root function",""
"data.frame","base","Create a data.frame from vectors",""
"slice_sample","dplyr","Randomly selects rows from a data frame or tibble.",""
"qt","stats","Quantile function for t-distribution",""
